region,trust,date,type1_attendances,admissions
Midlands And East Of England Commissioning Region,Cambridge University Hospitals NHS Foundation Trust,2016-01,9153,3781
Midlands And East Of England Commissioning Region,Chesterfield Royal Hospital NHS Foundation Trust,2016-01,6581,2842
Midlands And East Of England Commissioning Region,Clacton Hospital,2016-01,0,0
Midlands And East Of England Commissioning Region,Colchester Hospital University NHS Foundation Trust,2016-01,6733,3578
Midlands And East Of England Commissioning Region,Corby Urgent Care Centre,2016-01,0,0
Midlands And East Of England Commissioning Region,Coventry And Warwickshire Partnership NHS Trust,2016-01,0,102
Midlands And East Of England Commissioning Region,Coventry NHS Healthcare Ctr,2016-01,0,0
Midlands And East Of England Commissioning Region,Derby Teaching Hospitals NHS Foundation Trust,2016-01,11149,5079
Midlands And East Of England Commissioning Region,Derbyshire Community Health Services NHS Foundation Trust,2016-01,0,0
Midlands And East Of England Commissioning Region,Derbyshire Health United Ltd,2016-01,0,0
Midlands And East Of England Commissioning Region,East And North Hertfordshire NHS Trust,2016-01,8345,3635
Midlands And East Of England Commissioning Region,East Coast Community Healthcare C.I.C,2016-01,0,0
Midlands And East Of England Commissioning Region,Fryatt Hospital,2016-01,0,0
Midlands And East Of England Commissioning Region,George Eliot Hospital NHS Trust,2016-01,5835,1105
Midlands And East Of England Commissioning Region,Greet General Practice & Urgent Care Centre,2016-01,0,0
Midlands And East Of England Commissioning Region,Greyfriars Health Centre,2016-01,0,0
Midlands And East Of England Commissioning Region,Haverstock Healthcare (Cheshunt Community Hospital),2016-01,0,0
Midlands And East Of England Commissioning Region,Heart Of England NHS Foundation Trust,2016-01,18640,9380
Midlands And East Of England Commissioning Region,Hertfordshire Community NHS Trust,2016-01,0,0
Midlands And East Of England Commissioning Region,Hinchingbrooke Health Care NHS Trust,2016-01,3827,1277
Midlands And East Of England Commissioning Region,Ipswich Hospital NHS Trust,2016-01,7093,3139
Midlands And East Of England Commissioning Region,James Paget University Hospitals NHS Foundation Trust,2016-01,5558,1498
Midlands And East Of England Commissioning Region,Kettering General Hospital NHS Foundation Trust,2016-01,7125,2816
Midlands And East Of England Commissioning Region,Latham House Medical Practice,2016-01,0,0
Midlands And East Of England Commissioning Region,Lincolnshire Community Health Services NHS Trust,2016-01,0,79
Midlands And East Of England Commissioning Region,Loughborough Urgent Care Centre,2016-01,0,0
Midlands And East Of England Commissioning Region,Luton And Dunstable University Hospital NHS Foundation Trust,2016-01,8097,3525
Midlands And East Of England Commissioning Region,Malling Health - Telford Wic,2016-01,0,0
Midlands And East Of England Commissioning Region,Market Harborough Med.Ctr,2016-01,0,0
Midlands And East Of England Commissioning Region,Market Harborough Urgent Care Centre,2016-01,0,0
Midlands And East Of England Commissioning Region,Melton Mowbray Urgent Care Centre,2016-01,0,0
Midlands And East Of England Commissioning Region,Mid Essex Hospital Services NHS Trust,2016-01,7117,2554
Midlands And East Of England Commissioning Region,Milton Keynes University Hospital NHS Foundation Trust,2016-01,7093,2299
Midlands And East Of England Commissioning Region,Norfolk And Norwich University Hospitals NHS Foundation Trust,2016-01,8621,4639
Midlands And East Of England Commissioning Region,North Colchester Healthcare Centre,2016-01,0,0
Midlands And East Of England Commissioning Region,Northampton General Hospital NHS Trust,2016-01,8343,3686
Midlands And East Of England Commissioning Region,Norwich Practices Ltd (Castle Mall),2016-01,0,0
Midlands And East Of England Commissioning Region,Nottingham Citycare Partnership,2016-01,0,0
Midlands And East Of England Commissioning Region,Nottingham University Hospitals NHS Trust,2016-01,14792,6312
Midlands And East Of England Commissioning Region,Oadby & Wigston Urgent Care Centre,2016-01,0,0
Midlands And East Of England Commissioning Region,Oakham Medical Practice,2016-01,0,0
Midlands And East Of England Commissioning Region,Oakham Urgent Care Centre,2016-01,0,0
Midlands And East Of England Commissioning Region,Peterborough And Stamford Hospitals NHS Foundation Trust,2016-01,7954,3073
Midlands And East Of England Commissioning Region,Putnoe Medical Centre Walk In Centre,2016-01,0,0
Midlands And East Of England Commissioning Region,Sandwell And West Birmingham Hospitals NHS Trust,2016-01,13914,4357
Midlands And East Of England Commissioning Region,Sherwood Forest Hospitals NHS Foundation Trust,2016-01,8270,3065
Midlands And East Of England Commissioning Region,Showell Park Health & Walk In Centre,2016-01,0,0
Midlands And East Of England Commissioning Region,Shrewsbury And Telford Hospital NHS Trust,2016-01,9830,4408
Midlands And East Of England Commissioning Region,Shropshire Community Health NHS Trust,2016-01,0,28
Midlands And East Of England Commissioning Region,Solihull Healthcare & Walk-In-Centre,2016-01,0,0
Midlands And East Of England Commissioning Region,South Birmingham GP Walk In Centre,2016-01,0,0
Midlands And East Of England Commissioning Region,South Warwickshire NHS Foundation Trust,2016-01,4839,1880
Midlands And East Of England Commissioning Region,Southend University Hospital NHS Foundation Trust,2016-01,7877,2964
Midlands And East Of England Commissioning Region,Staffordshire Doctors Urgent Care Ltd [Sduc],2016-01,0,0
Midlands And East Of England Commissioning Region,Suffolk Community Healthcare - Ipswich,2016-01,0,0
Midlands And East Of England Commissioning Region,Summerfield GP Surg & Urgent Care Centre,2016-01,0,0
Midlands And East Of England Commissioning Region,The Dudley Group NHS Foundation Trust,2016-01,8120,3476
Midlands And East Of England Commissioning Region,The Princess Alexandra Hospital NHS Trust,2016-01,8288,2989
Midlands And East Of England Commissioning Region,"The Queen Elizabeth Hospital, King's Lynn, NHS Foundation Trust",2016-01,4856,2662
Midlands And East Of England Commissioning Region,The Robert Jones And Agnes Hunt Orthopaedic Hospital NHS Foundation Trust,2016-01,0,22
Midlands And East Of England Commissioning Region,The Royal Wolverhampton NHS Trust,2016-01,11487,4058
Midlands And East Of England Commissioning Region,United Lincolnshire Hospitals NHS Trust,2016-01,13367,4545
Midlands And East Of England Commissioning Region,University Hospitals Birmingham NHS Foundation Trust,2016-01,9530,3981
Midlands And East Of England Commissioning Region,University Hospitals Coventry And Warwickshire NHS Trust,2016-01,11856,4570
Midlands And East Of England Commissioning Region,University Hospitals Of Leicester NHS Trust,2016-01,11418,7825
Midlands And East Of England Commissioning Region,University Hospitals Of North Midlands NHS Trust,2016-01,11172,7445
Midlands And East Of England Commissioning Region,Walsall Healthcare NHS Trust,2016-01,6672,2818
Midlands And East Of England Commissioning Region,Walsall Urgent Care Centre (Community Site),2016-01,0,0
Midlands And East Of England Commissioning Region,West Hertfordshire Hospitals NHS Trust,2016-01,7027,3268
Midlands And East Of England Commissioning Region,West Suffolk NHS Foundation Trust,2016-01,5413,2247
Midlands And East Of England Commissioning Region,Worcestershire Acute Hospitals NHS Trust,2016-01,9942,4046
Midlands And East Of England Commissioning Region,Worcestershire Health And Care NHS Trust,2016-01,0,0
Midlands And East Of England Commissioning Region,Wye Valley NHS Trust,2016-01,4393,1396
North Of England Commissioning Region,5 Boroughs Partnership NHS Foundation Trust,2016-01,0,0
North Of England Commissioning Region,Aintree University Hospital NHS Foundation Trust,2016-01,6995,3546
North Of England Commissioning Region,Airedale NHS Foundation Trust,2016-01,4569,1737
North Of England Commissioning Region,Alder Hey Children's NHS Foundation Trust,2016-01,5085,1039
North Of England Commissioning Region,Barnsley Hospital NHS Foundation Trust,2016-01,6885,2862
North Of England Commissioning Region,Blackpool Teaching Hospitals NHS Foundation Trust,2016-01,7048,2908
North Of England Commissioning Region,Bolton NHS Foundation Trust,2016-01,9650,3167
North Of England Commissioning Region,Bradford Teaching Hospitals NHS Foundation Trust,2016-01,11466,4109
North Of England Commissioning Region,Bransholme Health Centre,2016-01,0,0
North Of England Commissioning Region,Bridgewater Community Healthcare NHS Foundation Trust,2016-01,0,0
North Of England Commissioning Region,Calderdale And Huddersfield NHS Foundation Trust,2016-01,12399,3755
North Of England Commissioning Region,Care Uk NHS Rotherham Diagnostic Centre,2016-01,0,0
North Of England Commissioning Region,Central Manchester University Hospitals NHS Foundation Trust,2016-01,12129,4457
North Of England Commissioning Region,City Hospitals Sunderland NHS Foundation Trust,2016-01,7602,3731
North Of England Commissioning Region,Countess Of Chester Hospital NHS Foundation Trust,2016-01,5616,2268
North Of England Commissioning Region,County Durham And Darlington NHS Foundation Trust,2016-01,10880,5010
North Of England Commissioning Region,Cumbria Partnership NHS Foundation Trust,2016-01,0,0
North Of England Commissioning Region,Doncaster And Bassetlaw Hospitals NHS Foundation Trust,2016-01,11293,4945
North Of England Commissioning Region,East Cheshire NHS Trust,2016-01,3896,1256
North Of England Commissioning Region,East Lancashire Hospitals NHS Trust,2016-01,9350,4799
North Of England Commissioning Region,Freedom Centre,2016-01,0,0
North Of England Commissioning Region,Gateshead Health NHS Foundation Trust,2016-01,7395,2112
North Of England Commissioning Region,Harrogate And District NHS Foundation Trust,2016-01,3749,1489
North Of England Commissioning Region,Hull And East Yorkshire Hospitals NHS Trust,2016-01,10456,4687
North Of England Commissioning Region,Humber NHS Foundation Trust,2016-01,0,0
North Of England Commissioning Region,Lancashire Teaching Hospitals NHS Foundation Trust,2016-01,10701,3950
North Of England Commissioning Region,Lcd-Leeds-Ooh,2016-01,0,0
North Of England Commissioning Region,Leeds Teaching Hospitals NHS Trust,2016-01,17307,8064
North Of England Commissioning Region,Lindley House Health Centre,2016-01,0,0
North Of England Commissioning Region,Liverpool Community Health NHS Trust,2016-01,0,0
North Of England Commissioning Region,Liverpool Heart And Chest Hospital NHS Foundation Trust,2016-01,0,277
North Of England Commissioning Region,Liverpool Women's NHS Foundation Trust,2016-01,0,136
North Of England Commissioning Region,Local Care Direct Ooh,2016-01,0,0
North Of England Commissioning Region,Mersey Care NHS Trust,2016-01,0,196
North Of England Commissioning Region,Mid Cheshire Hospitals NHS Foundation Trust,2016-01,5312,3144
North Of England Commissioning Region,Mid Yorkshire Hospitals NHS Trust,2016-01,19256,5620
North Of England Commissioning Region,North Cumbria University Hospitals NHS Trust,2016-01,7241,2607
North Of England Commissioning Region,North Tees And Hartlepool NHS Foundation Trust,2016-01,5874,4062
North Of England Commissioning Region,Northern Lincolnshire And Goole NHS Foundation Trust,2016-01,11019,3384
North Of England Commissioning Region,Northumbria Healthcare NHS Foundation Trust,2016-01,14314,4163
North Of England Commissioning Region,Pennine Acute Hospitals NHS Trust,2016-01,22216,6508
North Of England Commissioning Region,Pennine Care NHS Foundation Trust,2016-01,0,0
North Of England Commissioning Region,Royal Liverpool And Broadgreen University Hospitals NHS Trust,2016-01,7719,3432
North Of England Commissioning Region,Salford Royal NHS Foundation Trust,2016-01,8464,3191
North Of England Commissioning Region,Sheffield Children's NHS Foundation Trust,2016-01,4618,1186
North Of England Commissioning Region,Sheffield City GP Hc (Wic),2016-01,0,0
North Of England Commissioning Region,South Tees Hospitals NHS Foundation Trust,2016-01,10255,3542
North Of England Commissioning Region,South Tyneside NHS Foundation Trust,2016-01,5299,1306
North Of England Commissioning Region,South West Yorkshire Partnership NHS Foundation Trust,2016-01,0,142
North Of England Commissioning Region,Southport And Ormskirk Hospital NHS Trust,2016-01,6018,2024
North Of England Commissioning Region,St Helens And Knowsley Hospital Services NHS Trust,2016-01,8856,3955
North Of England Commissioning Region,Stockport NHS Foundation Trust,2016-01,7804,3352
North Of England Commissioning Region,Sunderland GP Out Of Hours,2016-01,0,0
North Of England Commissioning Region,Tameside Hospital NHS Foundation Trust,2016-01,7059,2112
North Of England Commissioning Region,The Christie NHS Foundation Trust,2016-01,0,369
North Of England Commissioning Region,The Newcastle Upon Tyne Hospitals NHS Foundation Trust,2016-01,10605,4850
North Of England Commissioning Region,The Rotherham NHS Foundation Trust,2016-01,6477,2045
North Of England Commissioning Region,The Walton Centre NHS Foundation Trust,2016-01,0,167
North Of England Commissioning Region,University Hospital Of South Manchester NHS Foundation Trust,2016-01,7938,3058
North Of England Commissioning Region,University Hospitals Of Morecambe Bay NHS Foundation Trust,2016-01,7469,3476
North Of England Commissioning Region,Warrington And Halton Hospitals NHS Foundation Trust,2016-01,6568,2698
North Of England Commissioning Region,Wirral Community NHS Trust,2016-01,0,0
North Of England Commissioning Region,Wirral University Teaching Hospital NHS Foundation Trust,2016-01,8078,4121
North Of England Commissioning Region,Workington Health Limited,2016-01,0,0
North Of England Commissioning Region,"Wrightington, Wigan And Leigh NHS Foundation Trust",2016-01,7524,2265
North Of England Commissioning Region,York Teaching Hospital NHS Foundation Trust,2016-01,9471,4786
South Of England Commissioning Region,Ashford And St Peter's Hospitals NHS Foundation Trust,2016-01,8088,2223
South Of England Commissioning Region,Ashford Health Centre,2016-01,0,0
South Of England Commissioning Region,Assura Reading Llp,2016-01,0,0
South Of England Commissioning Region,Berkshire Healthcare NHS Foundation Trust,2016-01,0,0
South Of England Commissioning Region,Brighton And Sussex University Hospitals NHS Trust,2016-01,12211,4480
South Of England Commissioning Region,Bristol Community Health,2016-01,0,0
South Of England Commissioning Region,Buckinghamshire Healthcare NHS Trust,2016-01,6824,4248
South Of England Commissioning Region,Cardrew Health Centre,2016-01,0,0
South Of England Commissioning Region,Carfax Health Enterprise,2016-01,0,0
South Of England Commissioning Region,Dartford And Gravesham NHS Trust,2016-01,8461,2570
South Of England Commissioning Region,Dorset County Hospital NHS Foundation Trust,2016-01,3553,1705
South Of England Commissioning Region,Dorset Healthcare University NHS Foundation Trust,2016-01,0,24
South Of England Commissioning Region,Dr Jm Ribchester & Partners,2016-01,0,0
South Of England Commissioning Region,East Kent Hospitals University NHS Foundation Trust,2016-01,12177,5484
South Of England Commissioning Region,East Sussex Healthcare NHS Trust,2016-01,8731,3222
South Of England Commissioning Region,Frimley Health NHS Foundation Trust,2016-01,19580,7285
South Of England Commissioning Region,Gloucestershire Care Services NHS Trust,2016-01,0,70
South Of England Commissioning Region,Gloucestershire Hospitals NHS Foundation Trust,2016-01,10734,4542
South Of England Commissioning Region,Great Western Hospitals NHS Foundation Trust,2016-01,6271,3091
South Of England Commissioning Region,Hampshire Hospitals NHS Foundation Trust,2016-01,8791,3080
South Of England Commissioning Region,Haslemere Minor Injuries Unit,2016-01,0,0
South Of England Commissioning Region,Isle Of Wight NHS Trust,2016-01,3169,982
South Of England Commissioning Region,Kent Community Health NHS Foundation Trust,2016-01,0,0
South Of England Commissioning Region,Livewell Southwest,2016-01,0,0
South Of England Commissioning Region,Maidstone And Tunbridge Wells NHS Trust,2016-01,11489,3495
South Of England Commissioning Region,Medway NHS Foundation Trust,2016-01,8997,3008
South Of England Commissioning Region,North Bristol NHS Trust,2016-01,6927,3604
South Of England Commissioning Region,Northern Devon Healthcare NHS Trust,2016-01,3509,1651
South Of England Commissioning Region,Oxford Health NHS Foundation Trust,2016-01,0,0
South Of England Commissioning Region,Oxford University Hospitals NHS Foundation Trust,2016-01,10652,5615
South Of England Commissioning Region,Paulton Memorial Hospital,2016-01,0,0
South Of England Commissioning Region,Peninsula Community Health C.I.C,2016-01,0,23
South Of England Commissioning Region,Plymouth Hospitals NHS Trust,2016-01,7968,3953
South Of England Commissioning Region,Poole Hospital NHS Foundation Trust,2016-01,5302,3071
South Of England Commissioning Region,Portsmouth Hospitals NHS Trust,2016-01,9274,4462
South Of England Commissioning Region,Queen Victoria Hospital NHS Foundation Trust,2016-01,0,383
South Of England Commissioning Region,Royal Berkshire NHS Foundation Trust,2016-01,9040,3785
South Of England Commissioning Region,Royal Cornwall Hospitals NHS Trust,2016-01,5260,3478
South Of England Commissioning Region,Royal Devon And Exeter NHS Foundation Trust,2016-01,7789,3238
South Of England Commissioning Region,Royal Surrey County Hospital NHS Foundation Trust,2016-01,5415,1831
South Of England Commissioning Region,Royal United Hospitals Bath NHS Foundation Trust,2016-01,5777,3081
South Of England Commissioning Region,Salisbury NHS Foundation Trust,2016-01,3567,1762
South Of England Commissioning Region,Somerset Partnership NHS Foundation Trust,2016-01,0,180
South Of England Commissioning Region,Southampton NHS Treatment Centre,2016-01,0,0
South Of England Commissioning Region,Southern Health NHS Foundation Trust,2016-01,0,170
South Of England Commissioning Region,St Mary's NHS Treatment Centre,2016-01,0,0
South Of England Commissioning Region,Surrey And Sussex Healthcare NHS Trust,2016-01,7836,2900
South Of England Commissioning Region,Sussex Community NHS Foundation Trust,2016-01,0,0
South Of England Commissioning Region,Taunton And Somerset NHS Foundation Trust,2016-01,5028,3184
South Of England Commissioning Region,Tetbury Hospital Trust Ltd,2016-01,0,0
South Of England Commissioning Region,The Royal Bournemouth And Christchurch Hospitals NHS Foundation Trust,2016-01,5720,2917
South Of England Commissioning Region,Torbay And South Devon NHS Foundation Trust,2016-01,5896,2648
South Of England Commissioning Region,University Hospital Southampton NHS Foundation Trust,2016-01,8150,5167
South Of England Commissioning Region,University Hospitals Bristol NHS Foundation Trust,2016-01,9043,3514
South Of England Commissioning Region,Western Sussex Hospitals NHS Foundation Trust,2016-01,10908,4611
South Of England Commissioning Region,Weston Area Health NHS Trust,2016-01,4229,1246
South Of England Commissioning Region,Weybridge Walk In Centre,2016-01,0,0
South Of England Commissioning Region,Woking Walk In Centre,2016-01,0,0
South Of England Commissioning Region,Yate West Gate Centre,2016-01,0,0
South Of England Commissioning Region,Yeovil District Hospital NHS Foundation Trust,2016-01,3837,1613
London Commissioning Region,"Barking, Havering And Redbridge University Hospitals NHS Trust",2016-02,19605,4263
London Commissioning Region,Barts Health NHS Trust,2016-02,27209,7517
London Commissioning Region,Beckenham Beacon Ucc,2016-02,0,0
London Commissioning Region,Central London Community Healthcare NHS Trust,2016-02,0,0
London Commissioning Region,Chelsea And Westminster Hospital NHS Foundation Trust,2016-02,16165,4324
London Commissioning Region,Croydon Health Services NHS Trust,2016-02,6105,2728
London Commissioning Region,Edmonton GP Walk In Centre,2016-02,0,0
London Commissioning Region,Edridge Road Community Health Centre,2016-02,0,0
London Commissioning Region,Epsom And St Helier University Hospitals NHS Trust,2016-02,12239,3127
London Commissioning Region,Guy's And St Thomas' NHS Foundation Trust,2016-02,12068,3387
London Commissioning Region,Harold Wood Walk In Centre,2016-02,0,0
London Commissioning Region,Homerton University Hospital NHS Foundation Trust,2016-02,10223,1829
London Commissioning Region,Hounslow And Richmond Community Healthcare NHS Trust,2016-02,0,0
London Commissioning Region,Imperial College Healthcare NHS Trust,2016-02,9520,4115
London Commissioning Region,King's College Hospital NHS Foundation Trust,2016-02,16915,4846
London Commissioning Region,Kingston Hospital NHS Foundation Trust,2016-02,8499,2069
London Commissioning Region,Lewisham And Greenwich NHS Trust,2016-02,17797,4674
London Commissioning Region,London North West Healthcare NHS Trust,2016-02,11709,5780
London Commissioning Region,Moorfields Eye Hospital NHS Foundation Trust,2016-02,0,202
London Commissioning Region,North East London NHS Foundation Trust,2016-02,0,0
London Commissioning Region,North Middlesex University Hospital NHS Trust,2016-02,13579,3251
London Commissioning Region,Orchard Village Walk-In-Centre,2016-02,0,0
London Commissioning Region,Orient Practice,2016-02,0,0
London Commissioning Region,Parkway Miu,2016-02,0,484
London Commissioning Region,Purley Miu,2016-02,0,580
London Commissioning Region,Royal Brompton & Harefield NHS Foundation Trust,2016-02,0,476
London Commissioning Region,Royal Free London NHS Foundation Trust,2016-02,18579,4209
London Commissioning Region,Royal National Orthopaedic Hospital NHS Trust,2016-02,0,22
London Commissioning Region,St Andrews Walk-In Centre,2016-02,0,0
London Commissioning Region,St George's University Hospitals NHS Foundation Trust,2016-02,12715,3945
London Commissioning Region,The Barkantine Practice,2016-02,0,0
London Commissioning Region,The Hillingdon Hospitals NHS Foundation Trust,2016-02,5010,2088
London Commissioning Region,The Practice Loxford,2016-02,0,0
London Commissioning Region,The Ridgeway Surgery,2016-02,0,0
London Commissioning Region,The Whittington Hospital NHS Trust,2016-02,8207,1304
London Commissioning Region,University College London Hospitals NHS Foundation Trust,2016-02,11328,2327
London Commissioning Region,Urgent Care Centre,2016-02,0,0
London Commissioning Region,Waldron - Hurley Unregistered Practice,2016-02,0,0
Midlands And East Of England Commissioning Region,Assura Vertis Urgent Care Centres (Birmingham),2016-02,0,0
Midlands And East Of England Commissioning Region,Basildon And Thurrock University Hospitals NHS Foundation Trust,2016-02,10922,2230
Midlands And East Of England Commissioning Region,Bedford Hospital NHS Trust,2016-02,5725,1879
Midlands And East Of England Commissioning Region,Birmingham Children's Hospital NHS Foundation Trust,2016-02,4821,1207
Midlands And East Of England Commissioning Region,Birmingham Community Healthcare NHS Foundation Trust,2016-02,0,0
Midlands And East Of England Commissioning Region,Birmingham Wic,2016-02,0,0
Midlands And East Of England Commissioning Region,Birmingham Women's NHS Foundation Trust,2016-02,0,142
Midlands And East Of England Commissioning Region,Burton Hospitals NHS Foundation Trust,2016-02,5283,2091
Midlands And East Of England Commissioning Region,Cambridge University Hospitals NHS Foundation Trust,2016-02,9112,3495
Midlands And East Of England Commissioning Region,Chesterfield Royal Hospital NHS Foundation Trust,2016-02,6527,2968
Midlands And East Of England Commissioning Region,Clacton Hospital,2016-02,0,0
Midlands And East Of England Commissioning Region,Colchester Hospital University NHS Foundation Trust,2016-02,6911,3513
Midlands And East Of England Commissioning Region,Corby Urgent Care Centre,2016-02,0,0
Midlands And East Of England Commissioning Region,Coventry And Warwickshire Partnership NHS Trust,2016-02,0,98
Midlands And East Of England Commissioning Region,Coventry NHS Healthcare Ctr,2016-02,0,0
Midlands And East Of England Commissioning Region,Derby Teaching Hospitals NHS Foundation Trust,2016-02,10682,4755
Midlands And East Of England Commissioning Region,Derbyshire Community Health Services NHS Foundation Trust,2016-02,0,0
Midlands And East Of England Commissioning Region,Derbyshire Health United Ltd,2016-02,0,0
Midlands And East Of England Commissioning Region,East And North Hertfordshire NHS Trust,2016-02,8222,3423
Midlands And East Of England Commissioning Region,East Coast Community Healthcare C.I.C,2016-02,0,0
Midlands And East Of England Commissioning Region,Fryatt Hospital,2016-02,0,0
Midlands And East Of England Commissioning Region,George Eliot Hospital NHS Trust,2016-02,5605,1085
Midlands And East Of England Commissioning Region,Greet General Practice & Urgent Care Centre,2016-02,0,0
Midlands And East Of England Commissioning Region,Greyfriars Health Centre,2016-02,0,0
Midlands And East Of England Commissioning Region,Haverstock Healthcare (Cheshunt Community Hospital),2016-02,0,0
Midlands And East Of England Commissioning Region,Heart Of England NHS Foundation Trust,2016-02,18142,8857
Midlands And East Of England Commissioning Region,Hertfordshire Community NHS Trust,2016-02,0,0
Midlands And East Of England Commissioning Region,Hinchingbrooke Health Care NHS Trust,2016-02,3641,1097
Midlands And East Of England Commissioning Region,Ipswich Hospital NHS Trust,2016-02,6724,2889
Midlands And East Of England Commissioning Region,James Paget University Hospitals NHS Foundation Trust,2016-02,5641,1361
Midlands And East Of England Commissioning Region,Kettering General Hospital NHS Foundation Trust,2016-02,6686,2651
Midlands And East Of England Commissioning Region,Latham House Medical Practice,2016-02,0,0
Midlands And East Of England Commissioning Region,Lincolnshire Community Health Services NHS Trust,2016-02,0,87
Midlands And East Of England Commissioning Region,Loughborough Urgent Care Centre,2016-02,0,0
Midlands And East Of England Commissioning Region,Luton And Dunstable University Hospital NHS Foundation Trust,2016-02,7913,3319
Midlands And East Of England Commissioning Region,Malling Health - Telford Wic,2016-02,0,0
Midlands And East Of England Commissioning Region,Market Harborough Med.Ctr,2016-02,0,0
Midlands And East Of England Commissioning Region,Market Harborough Urgent Care Centre,2016-02,0,0
Midlands And East Of England Commissioning Region,Melton Mowbray Urgent Care Centre,2016-02,0,0
Midlands And East Of England Commissioning Region,Mid Essex Hospital Services NHS Trust,2016-02,7063,2414
Midlands And East Of England Commissioning Region,Milton Keynes University Hospital NHS Foundation Trust,2016-02,7003,2111
Midlands And East Of England Commissioning Region,Norfolk And Norwich University Hospitals NHS Foundation Trust,2016-02,8749,4334
Midlands And East Of England Commissioning Region,North Colchester Healthcare Centre,2016-02,0,0
Midlands And East Of England Commissioning Region,Northampton General Hospital NHS Trust,2016-02,8360,3728
Midlands And East Of England Commissioning Region,Norwich Practices Ltd (Castle Mall),2016-02,0,0
Midlands And East Of England Commissioning Region,Nottingham Citycare Partnership,2016-02,0,0
Midlands And East Of England Commissioning Region,Nottingham University Hospitals NHS Trust,2016-02,14153,5925
Midlands And East Of England Commissioning Region,Oadby & Wigston Urgent Care Centre,2016-02,0,0
Midlands And East Of England Commissioning Region,Oakham Medical Practice,2016-02,0,0
Midlands And East Of England Commissioning Region,Oakham Urgent Care Centre,2016-02,0,0
Midlands And East Of England Commissioning Region,Peterborough And Stamford Hospitals NHS Foundation Trust,2016-02,7719,2915
Midlands And East Of England Commissioning Region,Putnoe Medical Centre Walk In Centre,2016-02,0,0
Midlands And East Of England Commissioning Region,Sandwell And West Birmingham Hospitals NHS Trust,2016-02,13008,3945
Midlands And East Of England Commissioning Region,Sherwood Forest Hospitals NHS Foundation Trust,2016-02,8163,3076
Midlands And East Of England Commissioning Region,Showell Park Health & Walk In Centre,2016-02,0,0
Midlands And East Of England Commissioning Region,Shrewsbury And Telford Hospital NHS Trust,2016-02,9571,4260
Midlands And East Of England Commissioning Region,Shropshire Community Health NHS Trust,2016-02,0,23
Midlands And East Of England Commissioning Region,Solihull Healthcare & Walk-In-Centre,2016-02,0,0
Midlands And East Of England Commissioning Region,South Birmingham GP Walk In Centre,2016-02,0,0
Midlands And East Of England Commissioning Region,South Warwickshire NHS Foundation Trust,2016-02,4868,1867
Midlands And East Of England Commissioning Region,Southend University Hospital NHS Foundation Trust,2016-02,7814,2797
Midlands And East Of England Commissioning Region,Staffordshire Doctors Urgent Care Ltd [Sduc],2016-02,0,0
Midlands And East Of England Commissioning Region,Suffolk Community Healthcare - Ipswich,2016-02,0,0
Midlands And East Of England Commissioning Region,Summerfield GP Surg & Urgent Care Centre,2016-02,0,0
Midlands And East Of England Commissioning Region,The Dudley Group NHS Foundation Trust,2016-02,7950,3389
Midlands And East Of England Commissioning Region,The Princess Alexandra Hospital NHS Trust,2016-02,8107,2687
Midlands And East Of England Commissioning Region,"The Queen Elizabeth Hospital, King's Lynn, NHS Foundation Trust",2016-02,4673,2618
Midlands And East Of England Commissioning Region,The Robert Jones And Agnes Hunt Orthopaedic Hospital NHS Foundation Trust,2016-02,0,8
Midlands And East Of England Commissioning Region,The Royal Wolverhampton NHS Trust,2016-02,11180,4011
Midlands And East Of England Commissioning Region,United Lincolnshire Hospitals NHS Trust,2016-02,13125,4539
Midlands And East Of England Commissioning Region,University Hospitals Birmingham NHS Foundation Trust,2016-02,9224,3827
Midlands And East Of England Commissioning Region,University Hospitals Coventry And Warwickshire NHS Trust,2016-02,11200,4426
Midlands And East Of England Commissioning Region,University Hospitals Of Leicester NHS Trust,2016-02,10783,7500
Midlands And East Of England Commissioning Region,University Hospitals Of North Midlands NHS Trust,2016-02,10635,7040
Midlands And East Of England Commissioning Region,Walsall Healthcare NHS Trust,2016-02,6257,2647
Midlands And East Of England Commissioning Region,Walsall Urgent Care Centre (Community Site),2016-02,0,0
Midlands And East Of England Commissioning Region,West Hertfordshire Hospitals NHS Trust,2016-02,7222,2869
Midlands And East Of England Commissioning Region,West Suffolk NHS Foundation Trust,2016-02,5370,2189
Midlands And East Of England Commissioning Region,Worcestershire Acute Hospitals NHS Trust,2016-02,9822,3904
Midlands And East Of England Commissioning Region,Worcestershire Health And Care NHS Trust,2016-02,0,0
Midlands And East Of England Commissioning Region,Wye Valley NHS Trust,2016-02,4272,1262
North Of England Commissioning Region,5 Boroughs Partnership NHS Foundation Trust,2016-02,0,0
North Of England Commissioning Region,Aintree University Hospital NHS Foundation Trust,2016-02,6698,3578
North Of England Commissioning Region,Airedale NHS Foundation Trust,2016-02,4332,1834
North Of England Commissioning Region,Alder Hey Children's NHS Foundation Trust,2016-02,5100,968
North Of England Commissioning Region,Barnsley Hospital NHS Foundation Trust,2016-02,6699,2772
North Of England Commissioning Region,Blackpool Teaching Hospitals NHS Foundation Trust,2016-02,6890,2737
North Of England Commissioning Region,Bolton NHS Foundation Trust,2016-02,9088,3008
North Of England Commissioning Region,Bradford Teaching Hospitals NHS Foundation Trust,2016-02,10749,3833
North Of England Commissioning Region,Bransholme Health Centre,2016-02,0,0
